# Conversazione con lo Spark ricavata da un btsnoop_hci.log.
# APP = mandato dal telefono, ampli = notifica in arrivo.
# messaggi: 163  (dall'app: 50)

  589,246s  APP    0x0170   f0 01 02 4f 01 70 30 54 78 0d 1b 4c 4a 63 5b 4c 74 69 4c 51 46 4c 6d 0d 53 4c 23 75 4c 6d 6f 4c 4f 4c 07 73 4c 19 30 21 20 79 57 4c 0a 4e 7b 4c 21 10 4c 0a 4c 5a 6c 58 6b 4c 57 27 4c 30 7b 4c 5c 4d 4c 61 4c 38 7e 3a 4c 78 4c 40 4c 2e 7b 4c 17 5c 4c 0a 4c 7b 3f 4c 08 4c 11 4c 31 52 6f 4c 43 4c 5f 4b 4c 39 6f 4c 2e 4c 56 6d 4c 5e 36 19 4c 7f 3f 4c 19 5f 03 4c 4c f7
  589,414s  ampli  0x0470   f0 01 02 00 04 70 00 00 f7
  589,422s  APP    0x022f   f0 01 03 00 02 2f f7
  589,471s  ampli  0x032f   f0 01 03 10 03 2f 11 4e 02 07 02 48 f7
  589,478s  APP    0x0223   f0 01 04 00 02 23 f7
  589,578s  APP    0x0211   f0 01 05 00 02 11 f7
  589,621s  ampli  0x0311   f0 01 05 6b 03 11 02 07 27 53 70 61 72 6b 00 20 32 f7
  589,625s  APP    0x0223   f0 01 06 00 02 23 f7
  590,108s  APP    0x022b   f0 01 07 00 02 2b 00 00 f7
  590,206s  APP    0x0201   f0 01 08 02 02 01 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 f7
  590,944s  ampli  0x0301   f0 01 08 65 03 01 70 11 10 05 3e 4c 4c 4d 01 63 f7
  591,155s  APP    0x0201   f0 01 09 05 02 01 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 f7
  592,022s  APP    0x0201   f0 01 0a 07 02 01 00 00 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 f7
  592,875s  APP    0x0210   f0 01 0b 00 02 10 f7
  592,952s  ampli  0x0310   f0 01 0b 06 03 10 00 00 06 f7
  592,960s  APP    0x0223   f0 01 0c 00 02 23 f7
  593,080s  APP    0x0211   f0 01 0d 00 02 11 f7
  593,164s  ampli  0x0311   f0 01 0d 6b 03 11 02 07 27 53 70 61 72 6b 00 20 32 f7
  593,171s  APP    0x022f   f0 01 0e 00 02 2f f7
  593,252s  ampli  0x032f   f0 01 0e 10 03 2f 11 4e 02 07 02 48 f7
  593,312s  APP    0x0296   f0 01 0f 00 02 96 f7
  593,371s  ampli  0x0396   f0 01 0f 43 03 96 01 42 f7
  593,386s  APP    0x0210   f0 01 10 00 02 10 f7
  593,401s  APP    0x0271   f0 01 11 00 02 71 f7
  593,463s  ampli  0x0310   f0 01 10 06 03 10 00 00 06 f7
  593,468s  APP    0x0201   f0 01 12 01 02 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 f7
  593,491s  ampli  0x0371   f0 01 11 0b 03 71 40 06 01 01 01 00 00 50 01 1d f7
  595,408s  APP    0x0265   f0 01 13 00 02 65 f7
  595,537s  ampli  0x0365   f0 01 13 43 03 65 01 42 f7
  597,558s  APP    0x0278   f0 01 14 00 02 78 f7
  597,632s  ampli  0x0378   f0 01 14 49 03 78 30 78 04 04 01 42 42 f7
  597,680s  APP    0x0275   f0 01 15 00 02 75 f7
  597,759s  ampli  0x0375   f0 01 15 09 03 75 00 09 f7
  604,847s  APP    0x0175   f0 01 16 0b 01 75 00 0b f7
  604,927s  ampli  0x0475   f0 01 16 00 04 75 f7
  604,954s  ampli  0x0375   f0 01 4f 08 03 75 00 08 f7
  604,981s  ampli  0x0377   f0 01 50 4b 03 77 01 4a 00 00 00 00 f7
  605,107s  ampli  0x0377   f0 01 51 08 03 77 05 4a 3c 4d 14 22 f7
  605,312s  ampli  0x0377   f0 01 52 01 03 77 09 4a 3d 4c 35 06 f7
  605,525s  ampli  0x0377   f0 01 53 67 03 77 1d 4a 3d 19 1f 0b f7
  605,706s  ampli  0x0377   f0 01 54 05 03 77 0d 4a 3d 4c 35 06 f7
  605,919s  ampli  0x0377   f0 01 55 71 03 77 0d 4a 3d 7f 7a 0e f7
  606,129s  ampli  0x0377   f0 01 56 60 03 77 19 4a 3e 19 1f 0b f7
  606,339s  ampli  0x0377   f0 01 57 25 03 77 01 4a 3e 33 2a 49 f7
  606,517s  ampli  0x0377   f0 01 58 20 03 77 19 4a 3e 4c 4c 4d f7
  606,739s  ampli  0x0377   f0 01 59 2d 03 77 01 4a 3e 66 6f 51 f7
